
TITLE                 AUTHOR                       LICENSE TYPE                               URL
seven.png      OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/counting-math-numbers-numerals-149957/

eight.png      OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/counting-eight-math-numbers-149958/

nine.png       OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/counting-math-nine-numbers-149959/

ten.png        OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/counting-math-ten-numbers-149959/


cloud1.png     OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/clouds-thinking-comments-bubbles-150268/

cloud2.png     OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/clouds-thinking-comments-bubbles-150268/

cloud3.png     OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/clouds-thinking-comments-bubbles-150268/

cloud4.png     OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/clouds-thinking-comments-bubbles-150268/

moon.jpg           95C/38 images                 CC0 Public Domain         https://pixabay.com/en/moon-dream-fantasy-surreal-night-478982/

add.png        ClkerFreeVectorImages             CC0 Public Domain         https://pixabay.com/en/sign-plus-add-arithmetic-27080/ addition 


page2.png         Felix_Hu/25 images             CC0 Public Domain         https://pixabay.com/en/landscape-hill-sky-clouds-hilly-922581/ 
      

sky.png        clkerfreevectorimages/29621       CC0 Public Domain         https://pixabay.com/en/summer-sky-landscape-garden-sun-297302/ 


music.png       Alexas_Fotos/7594 images         CC0 Public Domain         https://pixabay.com/en/minions-music-guitar-teddy-funny-1361171/ 

background.png  geralt / 11177 images            CC0 Public Domain         https://pixabay.com/en/mathematics-pay-digits-student-1044079/ 
            

star1.png        ClkerFreeVectorImages           CC0 Public Domain         https://pixabay.com/en/star-blue-glossy-rounded-297096/ 
    
star2.png        ClkerFreeVectorImages           CC0 Public Domain         https://pixabay.com/en/star-pink-rounded-favorite-297404/

star3.png        ClkerFreeVectorImages           CC0 Public Domain         https://pixabay.com/en/star-favorite-bookmark-yellow-gold-297563/

star4.png        ClkerFreeVectorImages           CC0 Public Domain         https://pixabay.com/en/star-favorite-orange-icon-rating-303363/

balloon1.png  OpenClipartVectors/23291 images    CC0 Public Domain         https://pixabay.com/en/balloon-green-circus-floating-150128/

balloon2.png     ClkerFreeVectorImages           CC0 Public Domain         https://pixabay.com/en/balloon-yellow-party-birthday-296637/

balloon3.png     kropekk_pl/1026 images          CC0 Public Domain         https://pixabay.com/en/balloon-balloons-inflatable-fun-298840/

balloon4.png     ClkerFreeVectorImages           CC0 Public Domain         https://pixabay.com/en/birthday-party-balloon-floating-295384/ 

fish1.png        ClkerFreeVectorImages           CC0 Public Domain         https://pixabay.com/en/fish-bubbles-silhouette-eye-look-305723/ 
 
fish2.png      OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/fish-food-swimming-silhouette-158982/ 
